,timestamp,date,day number,weekends,activity number,segment,activity count
260,1571061600,2019-10-14 20:00:00,1,1,0,3,0
261,1571065200,2019-10-14 21:00:00,1,1,0,3,0
262,1571068800,2019-10-14 22:00:00,1,1,0,3,0
263,1571072400,2019-10-14 23:00:00,1,1,0,3,0
264,1570989600,2019-10-14 00:00:00,1,1,0,0,0
265,1570993200,2019-10-14 01:00:00,1,1,0,0,0
266,1570996800,2019-10-14 02:00:00,1,1,0,0,0
267,1571000400,2019-10-14 03:00:00,1,1,0,0,0
268,1571004000,2019-10-14 04:00:00,1,1,0,0,0
269,1571007600,2019-10-14 05:00:00,1,1,0,0,0
270,1571011200,2019-10-14 06:00:00,1,1,0,1,0
271,1571014800,2019-10-14 07:00:00,1,1,0,1,0
272,1571018400,2019-10-14 08:00:00,1,1,0,1,0
273,1571022000,2019-10-14 09:00:00,1,1,0,1,0
274,1571025600,2019-10-14 10:00:00,1,1,0,1,0
275,1571029200,2019-10-14 11:00:00,1,1,0,1,0
276,1571032800,2019-10-14 12:00:00,1,1,0,2,0
277,1571036400,2019-10-14 13:00:00,1,1,0,2,0
278,1571040000,2019-10-14 14:00:00,1,1,0,2,0
279,1571043600,2019-10-14 15:00:00,1,1,0,2,0
280,1571047200,2019-10-14 16:00:00,1,1,0,2,0
281,1571050800,2019-10-14 17:00:00,1,1,0,2,0
282,1571054400,2019-10-14 18:00:00,1,1,0,3,0
283,1571058000,2019-10-14 19:00:00,1,1,0,3,0
284,1571061600,2019-10-14 20:00:00,1,1,0,3,174
285,1571065200,2019-10-14 21:00:00,1,1,0,3,0
286,1571068800,2019-10-14 22:00:00,1,1,0,3,0
287,1571072400,2019-10-14 23:00:00,1,1,0,3,0
288,1571076000,2019-10-15 00:00:00,2,1,0,0,0
289,1571079600,2019-10-15 01:00:00,2,1,0,0,0
290,1571083200,2019-10-15 02:00:00,2,1,0,0,0
291,1571086800,2019-10-15 03:00:00,2,1,0,0,0
292,1571090400,2019-10-15 04:00:00,2,1,0,0,0
293,1571094000,2019-10-15 05:00:00,2,1,0,0,0
294,1571097600,2019-10-15 06:00:00,2,1,0,1,0
295,1571101200,2019-10-15 07:00:00,2,1,0,1,0
296,1571104800,2019-10-15 08:00:00,2,1,0,1,0
297,1571108400,2019-10-15 09:00:00,2,1,0,1,0
298,1571112000,2019-10-15 10:00:00,2,1,0,1,0
299,1571115600,2019-10-15 11:00:00,2,1,0,1,0
300,1571119200,2019-10-15 12:00:00,2,1,0,2,0
301,1571122800,2019-10-15 13:00:00,2,1,0,2,0
302,1571126400,2019-10-15 14:00:00,2,1,0,2,0
303,1571130000,2019-10-15 15:00:00,2,1,0,2,0
304,1571133600,2019-10-15 16:00:00,2,1,0,2,0
305,1571137200,2019-10-15 17:00:00,2,1,0,2,0
306,1571140800,2019-10-15 18:00:00,2,1,0,3,0
307,1571144400,2019-10-15 19:00:00,2,1,0,3,0
308,1571148000,2019-10-15 20:00:00,2,1,0,3,833
309,1571151600,2019-10-15 21:00:00,2,1,0,3,0
310,1571155200,2019-10-15 22:00:00,2,1,0,3,0
311,1571158800,2019-10-15 23:00:00,2,1,0,3,0
312,1571076000,2019-10-15 00:00:00,2,1,0,0,0
313,1571079600,2019-10-15 01:00:00,2,1,0,0,0
314,1571083200,2019-10-15 02:00:00,2,1,0,0,0
315,1571086800,2019-10-15 03:00:00,2,1,0,0,0
316,1571090400,2019-10-15 04:00:00,2,1,0,0,0
317,1571094000,2019-10-15 05:00:00,2,1,0,0,0
318,1571097600,2019-10-15 06:00:00,2,1,0,1,0
319,1571101200,2019-10-15 07:00:00,2,1,0,1,0
320,1571104800,2019-10-15 08:00:00,2,1,0,1,0
321,1571108400,2019-10-15 09:00:00,2,1,0,1,0
322,1571112000,2019-10-15 10:00:00,2,1,0,1,0
323,1571115600,2019-10-15 11:00:00,2,1,0,1,0
324,1571119200,2019-10-15 12:00:00,2,1,0,2,0
325,1571122800,2019-10-15 13:00:00,2,1,0,2,0
326,1571126400,2019-10-15 14:00:00,2,1,0,2,0
327,1571130000,2019-10-15 15:00:00,2,1,0,2,0
328,1571133600,2019-10-15 16:00:00,2,1,0,2,0
329,1571137200,2019-10-15 17:00:00,2,1,0,2,0
330,1571140800,2019-10-15 18:00:00,2,1,0,3,0
331,1571144400,2019-10-15 19:00:00,2,1,0,3,0
332,1571148000,2019-10-15 20:00:00,2,1,0,3,909
333,1571151600,2019-10-15 21:00:00,2,1,0,3,0
334,1571155200,2019-10-15 22:00:00,2,1,0,3,0
335,1571158800,2019-10-15 23:00:00,2,1,0,3,0
336,1571076000,2019-10-15 00:00:00,2,1,0,0,0
337,1571079600,2019-10-15 01:00:00,2,1,0,0,0
338,1571083200,2019-10-15 02:00:00,2,1,0,0,0
339,1571086800,2019-10-15 03:00:00,2,1,0,0,0
340,1571090400,2019-10-15 04:00:00,2,1,0,0,0
341,1571094000,2019-10-15 05:00:00,2,1,0,0,0
342,1571097600,2019-10-15 06:00:00,2,1,0,1,0
343,1571101200,2019-10-15 07:00:00,2,1,0,1,0
344,1571104800,2019-10-15 08:00:00,2,1,0,1,0
345,1571108400,2019-10-15 09:00:00,2,1,0,1,0
346,1571112000,2019-10-15 10:00:00,2,1,0,1,0
347,1571115600,2019-10-15 11:00:00,2,1,0,1,0
348,1571119200,2019-10-15 12:00:00,2,1,0,2,0
349,1571122800,2019-10-15 13:00:00,2,1,0,2,0
350,1571126400,2019-10-15 14:00:00,2,1,0,2,0
351,1571130000,2019-10-15 15:00:00,2,1,0,2,0
352,1571133600,2019-10-15 16:00:00,2,1,0,2,37
353,1571137200,2019-10-15 17:00:00,2,1,0,2,556
354,1571140800,2019-10-15 18:00:00,2,1,0,3,0
355,1571144400,2019-10-15 19:00:00,2,1,0,3,0
356,1571148000,2019-10-15 20:00:00,2,1,0,3,0
357,1571151600,2019-10-15 21:00:00,2,1,0,3,0
358,1571155200,2019-10-15 22:00:00,2,1,0,3,0
359,1571158800,2019-10-15 23:00:00,2,1,0,3,0
360,1571076000,2019-10-15 00:00:00,2,1,0,0,0
361,1571079600,2019-10-15 01:00:00,2,1,0,0,0
362,1571083200,2019-10-15 02:00:00,2,1,0,0,0
363,1571086800,2019-10-15 03:00:00,2,1,0,0,0
364,1571090400,2019-10-15 04:00:00,2,1,0,0,0
365,1571094000,2019-10-15 05:00:00,2,1,0,0,0
366,1571097600,2019-10-15 06:00:00,2,1,0,1,0
367,1571101200,2019-10-15 07:00:00,2,1,0,1,0
368,1571104800,2019-10-15 08:00:00,2,1,0,1,0
369,1571108400,2019-10-15 09:00:00,2,1,0,1,0
370,1571112000,2019-10-15 10:00:00,2,1,0,1,0
371,1571115600,2019-10-15 11:00:00,2,1,0,1,0
372,1571119200,2019-10-15 12:00:00,2,1,0,2,0
373,1571122800,2019-10-15 13:00:00,2,1,0,2,0
374,1571126400,2019-10-15 14:00:00,2,1,0,2,0
375,1571130000,2019-10-15 15:00:00,2,1,0,2,0
376,1571133600,2019-10-15 16:00:00,2,1,0,2,0
377,1571137200,2019-10-15 17:00:00,2,1,0,2,0
378,1571140800,2019-10-15 18:00:00,2,1,0,3,0
379,1571144400,2019-10-15 19:00:00,2,1,0,3,0
380,1571148000,2019-10-15 20:00:00,2,1,0,3,203
381,1571151600,2019-10-15 21:00:00,2,1,0,3,361
382,1571155200,2019-10-15 22:00:00,2,1,0,3,0
383,1571158800,2019-10-15 23:00:00,2,1,0,3,0
384,1571162400,2019-10-16 00:00:00,3,1,0,0,0
385,1571166000,2019-10-16 01:00:00,3,1,0,0,0
386,1571169600,2019-10-16 02:00:00,3,1,0,0,0
